組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340A60100	管理部	総受注高	0.0	0.0		
340A60100	管理部	許諾料	0.0	0.0		
340A60100	管理部	穂木	0.0	0.0		
340A60100	管理部	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340A60100	管理部	バラ	0.0	0.0		
340A60100	管理部	通信販売	0.0	0.0		
340A60100	管理部	セット苗	0.0	0.0		
340A60100	管理部	その他	0.0	0.0		
340A60100	管理部	総売上高	0.0	0.0		
340A60100	管理部	許諾料	0.0	0.0		
340A60100	管理部	穂木	0.0	0.0		
340A60100	管理部	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340A60100	管理部	バラ	0.0	0.0		
340A60100	管理部	通信販売	0.0	0.0		
340A60100	管理部	セット苗	0.0	0.0		
340A60100	管理部	その他	0.0	0.0		
340A60100	管理部	社外売上	0.0	0.0		
340A60100	管理部	売上原価	0.0	0.0		
340A60100	管理部	穂木・苗仕入高	0.0	0.0		
340A60100	管理部	送料	0.0	0.0		
340A60100	管理部	その他	0.0	0.0		
340A60100	管理部	総生産	0.0	0.0		0.0
340A60100	管理部	社内売	0.0	0.0		0.0
340A60100	管理部	社内仕入	0.0	0.0		
340A60100	管理部	営業口銭	0.0	0.0		
340A60100	管理部	総収益	0.0	0.0		0.0
340A60100	管理部	経費合計	0.0	0.0		
340A60100	管理部	種苗費	0.0	0.0		
340A60100	管理部	肥料費	0.0	0.0		
340A60100	管理部	培土費用	0.0	0.0		
340A60100	管理部	農薬衛生費	0.0	0.0		
340A60100	管理部	農具費	0.0	0.0		
340A60100	管理部	諸材料費	0.0	0.0		
340A60100	管理部	その他仕入高	0.0	0.0		
340A60100	管理部	減価償却費	18966201.0	18966201.0	100.0	100.0
340A60100	管理部	車両費	741144.0	679844.0	109.0	108.7
340A60100	管理部	旅費交通費	1164839.0	1191000.0	97.8	65.2
340A60100	管理部	荷造運搬費	12320.0	0.0		514.8
340A60100	管理部	通信費	365564.0	397416.0	91.9	99.1
340A60100	管理部	水道光熱費	537696.0	616524.0	87.2	93.3
340A60100	管理部	動力費	0.0	0.0		
340A60100	管理部	燃料費	0.0	0.0		
340A60100	管理部	事務用品費	128503.0	126012.0	101.9	106.8
340A60100	管理部	消耗品費	37923.0	48000.0	79.0	79.1
340A60100	管理部	廃棄物処理料	28207.0	33512.0	84.1	95.1
340A60100	管理部	広告宣伝費	819605.0	614091.0	133.4	102.3
340A60100	管理部	接待交際費	52419.0	196000.0	26.7	26.6
340A60100	管理部	研究開発費	0.0	0.0		
340A60100	管理部	クレーム費	0.0	0.0		
340A60100	管理部	賃借料	2652177.0	2734392.0	96.9	99.6
340A60100	管理部	賃貸料収入	-241730.0	-240000.0		
340A60100	管理部	修繕費	0.0	0.0		0.0
340A60100	管理部	支払リース料	27291.0	13653.0	199.8	212.4
340A60100	管理部	保険料	59280.0	65680.0	90.2	29.2
340A60100	管理部	支払報酬	1015763.0	788490.0	128.8	50.3
340A60100	管理部	販売手数料	0.0	0.0		
340A60100	管理部	支払手数料	1651545.0	1631434.0	101.2	90.4
340A60100	管理部	診断料	0.0	0.0		
340A60100	管理部	諸会費	265854.0	198242.0	134.1	121.8
340A60100	管理部	会議費	30500.0	30500.0	100.0	93.5
340A60100	管理部	寄付金	50000.0	50000.0	100.0	161.5
340A60100	管理部	租税公課	1696800.0	1734700.0	97.8	114.3
340A60100	管理部	業務委託費	0.0	0.0		0.0
340A60100	管理部	業務受託収入	0.0	0.0		
340A60100	管理部	システム管理料	2844000.0	2844000.0	100.0	94.4
340A60100	管理部	情報機器利用料	1682160.0	1682160.0	100.0	105.7
340A60100	管理部	貸倒金	0.0	0.0		
340A60100	管理部	雑費	105713.0	83261.0	126.9	126.6
340A60100	管理部	福利消耗品費	11462.0	20000.0	57.3	47.9
340A60100	管理部	教育研修費	11040.0	9600.0	115.0	31.6
340A60100	管理部	雑給	0.0	0.0		
340A60100	管理部	社内金利（固定資産）	57585.0	57558.0	100.0	124.6
340A60100	管理部	社内金利（売掛金）	0.0	0.0		
340A60100	管理部	部門共通（経費）	0.0	0.0		
340A60100	管理部	全社共通（経費）	-35534661.0	-35333070.0		
340A60100	管理部	グループ共通	760800.0	760800.0	100.0	127.3
340A60100	管理部	差引収益	0.0	0.0		0.0
340A60100	管理部	差引比率	0.0	0.0		0.0
340A60100	管理部	総時間	0.0	0.0		
340A60100	管理部	定時間	8159.5	7968.0	102.4	109.3
340A60100	管理部	残業時間	515.0	544.0	94.6	136.0
340A60100	管理部	移動時間	-831.25	-842.0		
340A60100	管理部	部門共通（時間）	0.0	0.0		
340A60100	管理部	全社共通（時間）	-7843.25	-7670.0		
340A60100	管理部	当月時間当り	0.0	0.0		
340A60100	管理部	人員	4.0	4.0	100.0	100.0
