組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
013000000	㈱アグリコ	社内金利（売掛金）	0.0	0.0		
013000000	㈱アグリコ	部門共通（経費）	0.0	0.0		
013000000	㈱アグリコ	グループ共通	1032000.0	25632000.0	4.0	8.0
013000000	㈱アグリコ	差引収益	28425078.0	29994707.0	94.7	128.4
013000000	㈱アグリコ	差引比率	6.5	6.8	95.5	95.5
013000000	㈱アグリコ	総時間	9678.0	13849.0	69.8	135.1
013000000	㈱アグリコ	定時間	8921.5	13158.0	67.8	132.9
013000000	㈱アグリコ	残業時間	717.5	691.0	103.8	159.3
013000000	㈱アグリコ	移動時間	39.0	0.0		
013000000	㈱アグリコ	部門共通（時間）	0.0	0.0		
013000000	㈱アグリコ	当月時間当り	2937.0	2165.8	135.6	95.0
013000000	㈱アグリコ	人員	6.0	7.0	85.7	150.0
310A10800	営業部	総受注高	432876784.0	440000000.0	98.3	
310A10800	営業部	総売上高	432876784.0	440000000.0	98.3	
310A10800	営業部	売上高	440475158.0	447900000.0	98.3	
310A10800	営業部	売上値引	-7598374.0	-7900000.0		
310A10800	営業部	売上原価	360571413.0	366000000.0	98.5	
310A10800	営業部	総収益	72305371.0	74000000.0	97.7	
310A10800	営業部	経費合計	46308566.0	46622875.0	99.3	
310A10800	営業部	減価償却費	1980083.0	1933927.0	102.3	
310A10800	営業部	車両費	1623357.0	1640420.0	98.9	
310A10800	営業部	旅費交通費	439119.0	525300.0	83.5	
310A10800	営業部	荷造運搬費	1779636.0	1731390.0	102.7	
310A10800	営業部	通信費	504014.0	546240.0	92.2	
310A10800	営業部	水道光熱費	940630.0	1038700.0	90.5	
310A10800	営業部	事務用品費	529371.0	260210.0	203.4	
310A10800	営業部	消耗品費	86449.0	149600.0	57.7	
310A10800	営業部	廃棄物処理料	210905.0	210000.0	100.4	
310A10800	営業部	広告宣伝費	506311.0	529300.0	95.6	
310A10800	営業部	接待交際費	55000.0	40820.0	134.7	
310A10800	営業部	賃借料	4518729.0	4506000.0	100.2	
310A10800	営業部	賃貸料収入	0.0	0.0		
310A10800	営業部	修繕費	0.0	82500.0	0.0	
310A10800	営業部	支払リース料	128200.0	128200.0	100.0	
310A10800	営業部	保険料	151380.0	151380.0	100.0	
310A10800	営業部	支払報酬	0.0	0.0		
310A10800	営業部	販売手数料	0.0	0.0		
310A10800	営業部	支払手数料	1788215.0	1646400.0	108.6	
310A10800	営業部	診断料	0.0	0.0		
310A10800	営業部	諸会費	38000.0	32000.0	118.7	
310A10800	営業部	会議費	0.0	0.0		
310A10800	営業部	寄付金	0.0	0.0		
310A10800	営業部	租税公課	60600.0	68400.0	88.5	
310A10800	営業部	業務委託費	24600000.0	0.0		
310A10800	営業部	業務受託収入	0.0	0.0		
310A10800	営業部	システム管理料	0.0	0.0		
310A10800	営業部	情報機器利用料	1661412.0	1809600.0	91.8	
310A10800	営業部	貸倒金	656965.0	656965.0	100.0	
310A10800	営業部	雑費	479619.0	611787.0	78.3	
310A10800	営業部	福利消耗品費	4862.0	0.0		
310A10800	営業部	教育研修費	1436.0	2154.0	66.6	
310A10800	営業部	廃棄損・減耗損	0.0	0.0		
310A10800	営業部	雑給	104000.0	72000.0	144.4	
310A10800	営業部	社内金利（固定資産）	604487.0	596580.0	101.3	
310A10800	営業部	社内金利（売掛金）	1823786.0	2021002.0	90.2	
310A10800	営業部	部門共通（経費）	0.0	0.0		
310A10800	営業部	グループ共通	1032000.0	25632000.0	4.0	
310A10800	営業部	差引収益	25996805.0	27377125.0	94.9	
310A10800	営業部	差引比率	6.0	6.2	96.7	
310A10800	営業部	総時間	9678.0	13849.0	69.8	
310A10800	営業部	定時間	8921.5	13158.0	67.8	
310A10800	営業部	残業時間	717.5	691.0	103.8	
310A10800	営業部	移動時間	39.0	0.0		
310A10800	営業部	部門共通（時間）	0.0	0.0		
310A10800	営業部	当月時間当り	2686.1	1976.8	135.8	
310A10800	営業部	人員	6.0	7.0	85.7	
310D10100	園芸センター	総受注高	70757846.0	78000000.0	90.7	95.3
310D10100	園芸センター	総売上高	70757846.0	78000000.0	90.7	95.3
310D10100	園芸センター	売上高	70770436.0	78000000.0	90.7	95.2
310D10100	園芸センター	売上値引	-12590.0	0.0		
310D10100	園芸センター	売上原価	48338404.0	54000000.0	89.5	98.7
310D10100	園芸センター	総収益	22419442.0	24000000.0	93.4	88.8
310D10100	園芸センター	経費合計	23300391.0	23779727.0	97.9	155.4
310D10100	園芸センター	減価償却費	1980083.0	1933927.0	102.3	130.2
